,Year,Brand,Transmission,Body,Fuel,Price,Capacity,Mileage
30,-7,3,0,1,1,-1.060898306952122,-0.4374317059237755,-0.5070614869727347
31,-4,3,1,1,1,-0.44584942225199786,-0.8298108390696606,-1.2955362736539404
32,-7,3,1,2,1,-0.7720117095929727,-0.9979733247036113,0.35445637922769446
33,-7,3,0,1,1,-0.8484268740557155,-0.4374317059237755,0.6643548922494316
34,-7,3,0,1,1,-1.1634064544021427,-0.4374317059237755,0.4164360818320419
35,-3,5,1,1,1,1.2501944719210718,0.12310991285606031,-1.0400869293701225
36,-7,3,0,2,1,-0.9770280044930142,-0.4374317059237755,0.26148682532117334
37,-5,3,1,2,1,-0.1756006698837615,-0.8298108390696606,0.38544623052986815
38,-4,3,1,2,1,-0.1756006698837615,-0.8298108390696606,-0.2374497806438234
39,-8,5,1,1,3,0.5102720257818315,1.5244639598056497,1.3461316208972531
40,-7,3,1,2,1,-0.7813306320884292,-0.8298108390696606,-0.5752391598375168
41,-7,3,0,2,1,-1.1298583334184995,-0.4374317059237755,-1.2570158884853384
42,-7,3,1,2,1,-0.682550053636591,-0.8578379200086523,-0.35831020072230085
43,-7,3,1,2,1,-0.2128763598655872,-0.8298108390696606,1.0672229591776898
44,-4,3,1,1,1,0.36489683485271124,-0.8298108390696606,-1.411965144996207
45,-10,5,1,1,3,0.10023943598174873,1.496436878866658,0.726334594853779
46,-11,3,0,2,1,-1.3404659818158147,-0.4374317059237755,2.4927561190776806
47,-7,3,0,2,1,-0.9602539440011926,-0.4374317059237755,-0.5442493085353431
48,-6,3,0,1,1,-1.131722117917591,-0.4374317059237755,-0.17212317409884123
49,-11,3,0,2,1,-1.2286389118703376,-0.4374317059237755,-1.9035881460538908
50,-7,3,1,2,3,0.21579407492540842,-0.8578379200086523,0.5713853383429104
51,-9,5,1,1,3,0.43944821481636265,1.5244639598056497,0.15922031602400008
52,-8,3,1,2,3,-0.8465630895566242,-0.8578379200086523,-0.17237109290925862
53,-5,3,1,2,1,0.08532915998901844,-0.8578379200086523,0.26148682532117334
